9/6/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'   '1010' 'pump'  '807' 'pump'   '107' 'stuffing box' '8/182014' '1412' 'pump'   '1005' 'pump' '.' '803' 'pump'   '707' 'H/T'  '404' 'h/t casing leak'      '605' 'h/t'   '808' 'P/L'  '208' 'h/t'   '810' 'P/L'  '708' 'h/t'   '818' 'P/L'  '1104' 'h/t'      '1404' 'h/t'      '703' 'pump'      '910' 'frac'   'total off'  '803' 'frac'      '1004' 'H/T'      '1306' 'leak pump T'      ' 'LM 35' 'h/t'      'lm  ' 'pumped watet out of gun barrel and out of tank replaced water leg'      '202' 'frac'                                                                                         
9/7/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'   '1010' 'pump'  '807' 'pump'   '107' 'stuffing box' '8/182014' '1412' 'pump'   '1005' 'pump' '.' '803' 'pump'   '707' 'H/T'  '404' 'h/t casing leak'      '605' 'h/t'   '808' 'P/L'  '208' 'h/t'   '810' 'P/L'  '708' 'h/t'   '818' 'P/L'  '1104' 'h/t'      '1404' 'h/t'      '703' 'pump'      '910' 'frac'   'total off'  '803' 'frac'      '1004' 'H/T'      '1306' 'leak pump T'      ' 'LM 35' 'h/t'      'lm  ' 'pumped watet out of gun barrel and out of tank replaced water leg'      '202' 'frac'                                                                                         
9/8/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'   '1010' 'pump'  '807' 'pump'   '107' 'stuffing box' '8/182014' '1412' 'pump'   '1005' 'pump' '.' '803' 'pump'   '707' 'H/T'  '404' 'h/t casing leak'      '605' 'h/t'   '808' 'P/L'  '208' 'h/t'   '810' 'P/L'  '708' 'h/t'   '818' 'P/L'  '1104' 'h/t'      '1404' 'h/t'      '703' 'pump'      '910' 'frac'   'total off'  '803' 'frac'      '1004' 'H/T'      '1306' 'leak pump T'      ' 'LM 35' 'h/t'      'lm  ' 'pumped watet out of gun barrel and out of tank replaced water leg'      '202' 'frac'                                                                                         
9/9/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'   '1010' 'pump'  '807' 'pump'   '107' 'stuffing box' '8/182014' '1412' 'pump'   '1005' 'pump' '.' '803' 'pump'   '707' 'H/T'  '404' 'h/t casing leak'      '605' 'h/t'   '808' 'P/L'  '208' 'h/t'   '810' 'P/L'  '708' 'h/t'   '818' 'P/L'  '1104' 'h/t'      '1404' 'h/t'      '703' 'pump'      '910' 'frac'   'total off'  '803' 'frac'      '1004' 'H/T'      '1306' 'leak pump T'      ' 'LM 35' 'h/t'      'lm  ' 'pumped watet out of gun barrel and out of tank replaced water leg'      '202' 'frac'                                                                                         
9/10/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'      '807' 'pump'      '1412' 'pump'   '1005' 'pump' '.' '803' 'pump'   '707' 'H/T'  '404' 'h/t casing leak'      '605' 'h/t'   '808' 'P/L'  '208' 'h/t'   '810' 'P/L'  '708' 'h/t'   '818' 'P/L'                '703' 'pump'          'total off'  '803' 'frac'      '1004' 'H/T'             ' 'LM 35' 'h/t'                                                                                                       
9/11/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'      '807' 'pump'      '1412' 'pump'   '1005' 'pump' '.' '803' 'pump'   '707' 'H/T'  '404' 'h/t casing leak'      '605' 'h/t'   '808' 'P/L'  '208' 'h/t'   '810' 'P/L'  '708' 'h/t'   '818' 'P/L'                '703' 'pump'          'total off'  '803' 'frac'      '1004' 'H/T'             ' 'LM 35' 'h/t'                                                                                                       
9/12/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'      '807' 'pump'      '1412' 'pump'   '1005' 'pump' '.' '803' 'pump'   '707' 'H/T'  '404' 'h/t casing leak'      '605' 'h/t'   '808' 'P/L'  '208' 'h/t'   '810' 'P/L'  '708' 'h/t'   '818' 'P/L'                '703' 'pump'          'total off'  '803' 'frac'      '1004' 'H/T'             ' 'LM 35' 'h/t'                                                                                                       
9/13/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'      '807' 'pump'      '1412' 'pump'   '1005' 'pump' '.' '803' 'pump'   '707' 'H/T'  '404' 'h/t casing leak'      '605' 'h/t'   '808' 'P/L'  '208' 'h/t'   '810' 'P/L'  '708' 'h/t'   '818' 'P/L'                '703' 'pump'          'total off'  '803' 'frac'      '1004' 'H/T'             ' 'LM 35' 'h/t'                                                                                                       
9/14/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'      '807' 'pump'      '1412' 'pump'   '1005' 'pump' '.' '803' 'pump'   '707' 'H/T'  '404' 'h/t casing leak'      '605' 'h/t'   '808' 'P/L'  '208' 'h/t'   '810' 'P/L'  '708' 'h/t'   '818' 'P/L'                '703' 'pump'          'total off'  '803' 'frac'      '1004' 'H/T'             ' 'LM 35' 'h/t'                                                                                                       
9/15/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'      '807' 'pump'      '1412' 'pump'   '1005' 'pump' '.' '803' 'pump'   '707' 'H/T'  '404' 'h/t casing leak'      '605' 'h/t'   '808' 'P/L'  '208' 'h/t'   '810' 'P/L'  '708' 'h/t'   '818' 'P/L'                '703' 'pump'          'total off'  '803' 'frac'      '1004' 'H/T'             ' 'LM 35' 'h/t'                                                                                                       
9/16/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'      '807' 'pump'      '1412' 'pump'   '1005' 'pump' '.' '803' 'pump'   '707' 'H/T'  '404' 'h/t casing leak'      '605' 'h/t'   '808' 'P/L'      '810' 'P/L'  '708' 'h/t'   '818' 'P/L'                '703' 'pump'          'total off'  '803' 'frac'      '1004' 'H/T'             ' 'LM 35' 'h/t'                                                                                                       
9/17/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'      '807' 'pump'      '1412' 'pump'   '1005' 'pump' '.' '803' 'pump'   '707' 'H/T'  '404' 'h/t casing leak'      '605' 'h/t'   '808' 'P/L'      '810' 'P/L'  '708' 'h/t'   '818' 'P/L'                '703' 'pump'          'total off' '72barrels'  '803' 'frac'      '1004' 'H/T'             ' 'LM 35' 'h/t'                                                                                                       
9/18/2014,
